time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2007-03-25T19:03:24.940Z,37.305,136.849,10,3.5,m,8,164.2,,0.6,us,usp000f7e0,2014-11-07T01:31:55.828Z,"30 km NNW of Nanao, Japan",earthquake,,,,,reviewed,us,jma
2007-03-25T22:16:38.510Z,37.097,136.453,10,5.1,mwc,201,57.3,,1.15,us,usp000f7ef,2022-05-02T20:04:38.107Z,"37 km NW of Hakui, Japan",earthquake,,,,,reviewed,us,gcmt
2007-03-26T04:47:41.360Z,37.113,136.592,10,4.1,mwr,33,70.1,,1.52,us,usp000f7fb,2014-11-07T01:31:56.037Z,"30 km NW of Hakui, Japan",earthquake,,,,,reviewed,us,nied
2007-03-26T09:02:52.520Z,37.276,136.701,5.9,4.2,mb,15,74.4,,,us,usp000f7g6,2014-11-07T01:31:56.153Z,"34 km NW of Nanao, Japan",earthquake,,,,2,reviewed,jma,us
2007-03-26T12:30:26.260Z,37.186,136.647,9.6,3.9,m,4,171.5,,,us,usp000f7gn,2014-11-07T01:31:56.206Z,"32 km WNW of Nanao, Japan",earthquake,,,,,reviewed,jma,jma
2007-03-26T16:59:17.370Z,37.16,136.956,17.5,3.9,m,8,176,,0.74,us,usp000f7h8,2014-11-07T01:31:56.260Z,"12 km N of Nanao, Japan",earthquake,,14.5,,,reviewed,us,jma
2007-03-26T21:48:59.150Z,37.161,136.677,45.4,3.6,m,10,87.4,,1.06,us,usp000f7j5,2014-11-07T01:31:56.633Z,"28 km WNW of Nanao, Japan",earthquake,,18.9,,,reviewed,us,jma
2007-03-26T22:16:37.170Z,37.047,136.587,36,4,mb,12,81.8,,0.83,us,usp000f7ja,2014-11-07T01:31:56.645Z,"25 km NW of Hakui, Japan",earthquake,,14.1,,2,reviewed,us,us
2007-03-27T15:57:13.950Z,37.165,136.775,30.2,4.1,m,10,83.7,,1.01,us,usp000f7n2,2014-11-07T01:31:56.924Z,"21 km NW of Nanao, Japan",earthquake,,29.3,,,reviewed,us,jma
2007-03-27T23:08:14.030Z,37.094,136.807,10,4.6,mwr,80,61.9,,1.36,us,usp000f7nu,2014-11-07T01:31:57.000Z,"15 km WNW of Nanao, Japan",earthquake,,,,,reviewed,us,nied
2007-03-28T01:51:01.890Z,37.183,136.62,10,4.3,mb,26,73.1,,0.81,us,usp000f7p7,2014-11-07T01:31:57.088Z,"34 km WNW of Nanao, Japan",earthquake,,,,5,reviewed,us,us
2007-03-28T04:05:31.580Z,37.218,136.515,10,4.6,mwr,189,62.2,,0.79,us,usp000f7pg,2014-11-07T01:31:57.123Z,"44 km NNW of Hakui, Japan",earthquake,,,,,reviewed,us,nied
2007-04-01T17:51:44.370Z,37.21,136.69,12.4,4.2,m,6,173.1,,,us,usp000f831,2014-11-07T01:32:01.645Z,"30 km NW of Nanao, Japan",earthquake,,,,,reviewed,jma,jma
2007-04-01T23:01:21.930Z,37.207,136.647,7,4.1,m,4,172.3,,,us,usp000f84q,2014-11-07T01:32:02.692Z,"33 km WNW of Nanao, Japan",earthquake,,,,,reviewed,jma,jma
2007-04-05T06:14:01.240Z,37.074,136.439,8.3,4.3,m,6,157.4,,,us,usp000f8rg,2014-11-07T01:32:06.947Z,"37 km NW of Hakui, Japan",earthquake,,,,,reviewed,jma,jma
